"","Var1","Freq"
"1","고소女",20
"2","피해女",11
"3","무고女",9
"4","미혼女",9
"5","태국女",6
"6","동거女",5
"7","베트남女",5
"8","암살女",5
"9","불륜女",4
"10","에이즈女",4
"11","탈북女",4
"12","돌싱女",3
"13","비정규직女",3
"14","비키니女",3
"15","신고女",3
"16","혐의女",3
"17","경력단절女",2
"18","기혼女",2
"19","만취女",2
"20","몽골女",2
"21","무고혐의女",2
"22","미니스커트女",2
"23","성매매女",2
"24","신상女",2
"25","엽기女",2
"26","이혼女",2
"27","주장女",2
"28","지적장애女",2
"29","채팅女",2
"30","흡연女",2
"31","①기혼女",1
"32","LOL女",1
"33","갈취女",1
"34","게임중독女",1
"35","경단女",1
"36","경험女",1
"37","계약직女",1
"38","고도비만女",1
"39","귀화女",1
"40","글래머女",1
"41","긴치마女",1
"42","꽃뱀女",1
"43","나체댄스女",1
"44","나체女",1
"45","난동女",1
"46","난소암女",1
"47","네팔출신女",1
"48","다꼬女",1
"49","다른女",1
"50","단절女",1
"51","당첨女",1
"52","데이트女",1
"53","독거女",1
"54","독박육아女",1
"55","동업女",1
"56","동영상女",1
"57","또래女",1
"58","뚱뚱한女",1
"59","랜덤채팅女",1
"60","마사지女",1
"61","만남女",1
"62","매력女",1
"63","미스터리女",1
"64","범죄女",1
"65","비선女",1
"66","뻔뻔女",1
"67","사우디女",1
"68","사이다女",1
"69","사칭女",1
"70","살해女",1
"71","서울女",1
"72","셀카女",1
"73","소개팅女",1
"74","수영복女",1
"75","시각장애女",1
"76","아프리카女",1
"77","어복女",1
"78","엄지女",1
"79","연상동거女",1
"80","연상女",1
"81","우즈베크女",1
"82","원룸女",1
"83","육아휴직女",1
"84","이란女",1
"85","이상女",1
"86","자살시도女",1
"87","자취女",1
"88","제주女",1
"89","조건만남女",1
"90","조현병女",1
"91","중년女",1
"92","중소기업女",1
"93","즉석만남女",1
"94","지망생女",1
"95","직장女",1
"96","짝사랑女",1
"97","천재女",1
"98","초고도비만女",1
"99","최강동안女",1
"100","추정女",1
"101","출신女",1
"102","친척女",1
"103","콘돔절도女",1
"104","투신女",1
"105","편취女",1
"106","평범女",1
"107","필로폰女",1
"108","한국女",1
"109","혼자女",1
"110","흉내女",1
"111","母女",1
"112","禁女",1
