"","Var1","Freq"
"1","안방男",18
"2","이혼男",5
"3","중년男",4
"4","미혼男",3
"5","경제력男",2
"6","부킹男",2
"7","불륜男",2
"8","성인男",2
"9","애완男",2
"10","투신男",2
"11","갑상선암ㆍ男",1
"12","고령男",1
"13","공무원男",1
"14","몰카男",1
"15","변태男",1
"16","봉걸레男",1
"17","부산男",1
"18","비만男",1
"19","빼빼男",1
"20","사기男",1
"21","사망男",1
"22","성구매男",1
"23","성매매男",1
"24","성매수男",1
"25","실연男",1
"26","연하男",1
"27","음주男",1
"28","이란男",1
"29","젊은男",1
"30","조선족男",1
"31","지명수배男",1
"32","짐승男",1
"33","쩍벌男",1
"34","통통男",1
"35","한족男",1
"36","합석男",1
"37","南男北女",1
