"","Var1","Freq"
"1","알몸男",13
"2","폭행男",8
"3","투척男",6
"4","만취男",4
"5","男女",4
"6","몰카男",3
"7","중년男",3
"8","가부장男",2
"9","강남男",2
"10","돌싱男",2
"11","백인男",2
"12","살해협박男",2
"13","성매수男",2
"14","유출男",2
"15","유포男",2
"16","조현병男",2
"17","한국男",2
"18","해남男",2
"19","협박男",2
"20","男男",2
"21","가격男",1
"22","가해男",1
"23","강간미수男",1
"24","개념男",1
"25","갱년기男",1
"26","고민男",1
"27","공갈男",1
"28","군복男",1
"29","기쁨男",1
"30","기증男",1
"31","나체男",1
"32","내연男",1
"33","도주男",1
"34","독거男",1
"35","동거男",1
"36","마성男",1
"37","만렙男",1
"38","맞선男",1
"39","매수男",1
"40","무단침입男",1
"41","미성년男",1
"42","미혼男",1
"43","박카스男",1
"44","베이비부머男",1
"45","변태男",1
"46","보안회사男",1
"47","불륜男",1
"48","사우디男",1
"49","사지절단男",1
"50","살인교사男",1
"51","살인男",1
"52","살해용의男",1
"53","상대男",1
"54","서울대男",1
"55","서초구청男",1
"56","성매매男",1
"57","성추행男",1
"58","성폭력男",1
"59","소개男",1
"60","소방관男",1
"61","스토킹男",1
"62","시도男",1
"63","싱글男",1
"64","알몸사진男",1
"65","알몸촬영男",1
"66","야망男",1
"67","연쇄살인男",1
"68","연하男",1
"69","열정男",1
"70","우유부단男",1
"71","운동부족男",1
"72","의심男",1
"73","장년층男",1
"74","재혼男",1
"75","젊은男",1
"76","직장男",1
"77","직진男",1
"78","짜증男",1
"79","차량난동男",1
"80","추행男",1
"81","침입男",1
"82","탈취男",1
"83","패륜男",1
"84","평범男",1
"85","폭력男",1
"86","폭언男",1
"87","폰팅男",1
"88","허위신고男",1
"89","화성男",1
"90","훔친男",1
"91","힐링男",1
"92","性매매男",1
"93","非男",1
