"","Var1","Freq"
"1","미혼女",25
"2","부킹女",16
"3","만취女",13
"4","지적장애女",13
"5","피해女",12
"6","장애女",11
"7","사기女",10
"8","베트남女",7
"9","성매매女",7
"10","한국女",7
"11","결혼이민女",6
"12","조선족女",6
"13","폭행女",6
"14","탈북女",5
"15","나체女",4
"16","날씬女",4
"17","무개념女",4
"18","싱글女",4
"19","이주女",4
"20","이혼女",4
"21","재혼女",4
"22","채팅女",4
"23","초혼女",4
"24","필리핀女",4
"25","희귀병女",4
"26","가출女",3
"27","결혼이주女",3
"28","기혼女",3
"29","대졸女",3
"30","돌싱女",3
"31","불륜女",3
"32","비만女",3
"33","술집女",3
"34","얼짱女",3
"35","중년女",3
"36","경력단절女",2
"37","귀가女",2
"38","내연女",2
"39","뉴질랜드女",2
"40","다른女",2
"41","달서구女",2
"42","대천女",2
"43","동거女",2
"44","동남아女",2
"45","동행女",2
"46","리비아女",2
"47","막말女",2
"48","만삭女",2
"49","미니스커트女",2
"50","벤츠女",2
"51","비키니女",2
"52","사우디女",2
"53","살해한女",2
"54","살해女",2
"55","상대女",2
"56","성폭행女",2
"57","섹시女",2
"58","실종女",2
"59","알레르기女",2
"60","알바女",2
"61","연상女",2
"62","재벌女",2
"63","정신지체女",2
"64","중독女",2
"65","지하철女",2
"66","직장女",2
"67","짝사랑女",2
"68","짧은치마女",2
"69","투신女",2
"70","평양女",2
"71","폐경女",2
"72","한강투신女",2
"73","ㆍ女",2
"74","G컵女",1
"75","개념女",1
"76","거구女",1
"77","고령女",1
"78","고학력女",1
"79","관계女",1
"80","광채피부女",1
"81","구직女",1
"82","굶어죽인女",1
"83","귀갓길女",1
"84","극복女",1
"85","기독女",1
"86","기억상실증女",1
"87","나온女",1
"88","날씬한女",1
"89","노숙女",1
"90","노안女",1
"91","달인女",1
"92","대만女",1
"93","데스크탑女",1
"94","떨어진女",1
"95","뚱뚱한女",1
"96","러시아女",1
"97","만남女",1
"98","먹튀女",1
"99","면접女",1
"100","명문대女",1
"101","모태솔로女",1
"102","모텔투숙女",1
"103","목소리女",1
"104","무슬림女",1
"105","문제女",1
"106","미국女",1
"107","미모女",1
"108","밀반입女",1
"109","밸리댄스女",1
"110","북한女",1
"111","불특정女",1
"112","빼빼女",1
"113","사기결혼女",1
"114","사용자女",1
"115","사용女",1
"116","사진女",1
"117","상상임신女",1
"118","성추문女",1
"119","성형중독女",1
"120","성형女",1
"121","세균공포증女",1
"122","소개팅女",1
"123","소송女",1
"124","속옷女",1
"125","숏팬츠女",1
"126","수석졸업女",1
"127","스마트폰女",1
"128","스파게티女",1
"129","스폰女",1
"130","식사女",1
"131","신고女",1
"132","실연女",1
"133","심야女",1
"134","아르헨女",1
"135","알몸산책女",1
"136","알선女",1
"137","앞자리女",1
"138","어장관리女",1
"139","업소女",1
"140","에스컬레이터女",1
"141","역전女",1
"142","엽기女",1
"143","옆자리女",1
"144","우리집女",1
"145","우즈베크女",1
"146","원정女",1
"147","웨딩드레스女",1
"148","윤락女",1
"149","은행女",1
"150","음주女",1
"151","이란女",1
"152","이상女",1
"153","인도女",1
"154","인턴女",1
"155","입담女",1
"156","자살女",1
"157","자원봉사女",1
"158","잔혹女",1
"159","잠꾸러기女",1
"160","절도女",1
"161","절벽女",1
"162","정신장애女",1
"163","제주女",1
"164","좀비女",1
"165","종결女",1
"166","주장女",1
"167","중국女",1
"168","즉석만남女",1
"169","집착女",1
"170","쭉쭉빵빵女",1
"171","채집女",1
"172","천사女",1
"173","초고도비만女",1
"174","초코바女",1
"175","추정女",1
"176","통화女",1
"177","투포환女",1
"178","트랜스젠더女",1
"179","파렴치女",1
"180","패션女",1
"181","페이스오프女",1
"182","풍덩女",1
"183","피부병女",1
"184","하반신마비女",1
"185","한인女",1
"186","해킹女",1
"187","행패女",1
"188","헌팅女",1
"189","협박女",1
"190","호텔女",1
"191","화성인女",1
"192","환상女",1
"193","환전상女",1
"194","황당女",1
"195","禁女",1
