"","Var1","Freq"
"1","미혼女",51
"2","피해女",37
"3","지적장애女",28
"4","머리끄덩이女",27
"5","돌싱女",24
"6","만취女",22
"7","폭행女",22
"8","소개팅女",17
"9","부킹女",15
"10","또래女",12
"11","장애女",12
"12","직장女",12
"13","알바女",11
"14","탈북女",11
"15","성매매女",10
"16","채팅女",10
"17","한국女",10
"18","내연女",9
"19","알몸女",9
"20","업소女",9
"21","동거女",8
"22","미모女",8
"23","비키니女",8
"24","실종女",8
"25","얼짱女",8
"26","피살女",8
"27","베트남女",7
"28","가출女",6
"29","국정원女",6
"30","상대女",6
"31","유흥업소女",6
"32","절도女",6
"33","주폭女",6
"34","중년女",6
"35","기혼女",5
"36","나체女",5
"37","독신女",5
"38","장애인女",5
"39","지체장애女",5
"40","짝사랑女",5
"41","교복女",4
"42","살해女",4
"43","싱글女",4
"44","엽기女",4
"45","올레길女",4
"46","이혼女",4
"47","투신女",4
"48","하이힐女",4
"49","강남女",3
"50","결혼이민女",3
"51","고대女",3
"52","귀가女",3
"53","노출女",3
"54","담배女",3
"55","당첨女",3
"56","당한女",3
"57","무출산女",3
"58","불륜女",3
"59","성형女",3
"60","수원女",3
"61","옆방女",3
"62","외국인女",3
"63","우울증女",3
"64","자취女",3
"65","젊은女",3
"66","중독女",3
"67","질식사女",3
"68","태국女",3
"69","프랑스女",3
"70","흡연女",3
"71","구직女",2
"72","노숙女",2
"73","대만女",2
"74","된장女",2
"75","룸살롱女",2
"76","몽골女",2
"77","부적격女",2
"78","사망女",2
"79","서울대女",2
"80","서울女",2
"81","섹시女",2
"82","술집女",2
"83","술취한女",2
"84","슈퍼폭행女",2
"85","얼굴女",2
"86","옹호女",2
"87","외국女",2
"88","유부女",2
"89","음주운전女",2
"90","인도女",2
"91","자랑女",2
"92","자리양보女",2
"93","잠든女",2
"94","조선족女",2
"95","종양女",2
"96","주장女",2
"97","중국女",2
"98","클럽女",2
"99","피의자女",2
"100","한국계女",2
"101","한인女",2
"102","홀로女",2
"103","禁女",2
"104","OO女",1
"105","VS돌싱女",1
"106","가슴성형女",1
"107","가슴女",1
"108","가출신고女",1
"109","간부女",1
"110","갑부女",1
"111","강제낙태女",1
"112","개념女",1
"113","개문女",1
"114","거인女",1
"115","검거女",1
"116","결혼이주女",1
"117","결혼女",1
"118","경력단절女",1
"119","경력女",1
"120","고소女",1
"121","고졸女",1
"122","골드미스女",1
"123","공중부양女",1
"124","과거女",1
"125","과수원女",1
"126","괴력女",1
"127","국물女",1
"128","귀족女",1
"129","금발머리女",1
"130","그女",1
"131","길가던女",1
"132","꼴불견女",1
"133","끄덩이女",1
"134","나홀로女",1
"135","난동女",1
"136","내국인女",1
"137","넝쿨女",1
"138","노래방女",1
"139","노숙인女",1
"140","뇌사판정女",1
"141","니키니女",1
"142","다리미女",1
"143","다문화女",1
"144","당돌女",1
"145","대출사기女",1
"146","도난女",1
"147","돌먹女",1
"148","돌직구女",1
"149","된장국물女",1
"150","디즈니女",1
"151","똑똑한女",1
"152","뚱뚱한女",1
"153","뚱보女",1
"154","로또女",1
"155","로빈후드女",1
"156","리얼돌女",1
"157","마사지女",1
"158","마술사기女",1
"159","마신女",1
"160","만난女",1
"161","만삭女",1
"162","만칼로리女",1
"163","맞벌이女",1
"164","매춘女",1
"165","맥주女",1
"166","먼저ㆍ女",1
"167","모태솔로女",1
"168","목격女",1
"169","무개념女",1
"170","무관심女",1
"171","무모한女",1
"172","무법女",1
"173","무자격외국女",1
"174","미모구직女",1
"175","미스터리女",1
"176","밖ㆍ女",1
"177","발길질女",1
"178","백수女",1
"179","번지점프女",1
"180","벤츠女",1
"181","보복女",1
"182","볼거리女",1
"183","부은女",1
"184","부족女",1
"185","블루칼라女",1
"186","비만女",1
"187","사기女",1
"188","사우디女",1
"189","사육사女",1
"190","사이즈女",1
"191","상습폭행女",1
"192","샤워女",1
"193","성노예女",1
"194","성욕女",1
"195","성폭력女",1
"196","성폭행사망女",1
"197","성폭행女",1
"198","세련女",1
"199","소개女",1
"200","소동女",1
"201","손놀림女",1
"202","수백명女",1
"203","수장女",1
"204","수퍼폭행女",1
"205","숙대女",1
"206","순수女",1
"207","스토킹女",1
"208","스트립클럽女",1
"209","시도女",1
"210","시위女",1
"211","신고女",1
"212","싸움女",1
"213","쏟은女",1
"214","쓰러진女",1
"215","쓰레기장女",1
"216","아르바이트女",1
"217","아프간女",1
"218","안내女",1
"219","알몸시위女",1
"220","앙큼女",1
"221","엘리트女",1
"222","역삼동女",1
"223","연상女",1
"224","옆집女",1
"225","외계인女",1
"226","욕설女",1
"227","우즈벡女",1
"228","원룸사망女",1
"229","원조교제女",1
"230","원피스女",1
"231","위기女",1
"232","유괴女",1
"233","유통한女",1
"234","유학女",1
"235","이상女",1
"236","이웃집女",1
"237","이웃협박女",1
"238","이혼소송女",1
"239","임신女",1
"240","있던女",1
"241","자가용女",1
"242","자랑하던女",1
"243","자물쇠女",1
"244","잔혹살해된女",1
"245","장기연체한女",1
"246","재력女",1
"247","재벌女",1
"248","저소득女",1
"249","전문직女",1
"250","전신마비女",1
"251","접대女",1
"252","정신질환女",1
"253","제주관광女",1
"254","제주올레길女",1
"255","제주女",1
"256","조선시대女",1
"257","조수석女",1
"258","종사女",1
"259","죽은女",1
"260","중국인女",1
"261","즉석만남女",1
"262","지방흡입女",1
"263","직업女",1
"264","직장인女",1
"265","진출女",1
"266","질식女",1
"267","질주女",1
"268","짱돌女",1
"269","착한女",1
"270","참가女",1
"271","처방女",1
"272","청주피살女",1
"273","체포女",1
"274","초등생女",1
"275","초반女",1
"276","추정女",1
"277","축하해줬던女",1
"278","출산女",1
"279","캐디女",1
"280","커플女",1
"281","컵라면女",1
"282","큰女",1
"283","클럽부킹女",1
"284","태닝중독女",1
"285","턱툭튀女",1
"286","토막살해女",1
"287","퇴짜女",1
"288","투숙女",1
"289","트랜스젠더女",1
"290","특이식성女",1
"291","판정女",1
"292","패기女",1
"293","패륜女",1
"294","편의점털이女",1
"295","폐경女",1
"296","포맷女",1
"297","폭력女",1
"298","필리핀女",1
"299","하마女",1
"300","하이킥女",1
"301","하지정맥류女",1
"302","핫팬츠女",1
"303","행운女",1
"304","행패女",1
"305","협박女",1
"306","호객女",1
"307","혼인이주女",1
"308","혼자가는女",1
"309","홍콩女",1
"310","환각女",1
"311","환불女",1
"312","훔친女",1
"313","흑인女",1
"314","희귀병女",1
"315","ㆍ女",1
"316","樂女",1
"317","母女",1
