"","Var1","Freq"
"1","채팅女",7
"2","기혼女",4
"3","성매매女",4
"4","미혼女",3
"5","부킹女",3
"6","가출女",2
"7","내연女",2
"8","동거女",2
"9","복용女",2
"10","짝사랑女",2
"11","교사ㆍ女",1
"12","교사女",1
"13","귀가女",1
"14","남장女",1
"15","능력女",1
"16","당당女",1
"17","독신女",1
"18","때렸어女",1
"19","러시아女",1
"20","맞선女",1
"21","모든女",1
"22","무장女",1
"23","미모女",1
"24","밀항기도女",1
"25","베트남女",1
"26","볼륨女",1
"27","부담ㆍ女",1
"28","불임女",1
"29","비관女",1
"30","성관계女",1
"31","소신女",1
"32","속옷女",1
"33","쇼핑女",1
"34","싱글女",1
"35","연상女",1
"36","외국인女",1
"37","원룸女",1
"38","이웃女",1
"39","자살기도女",1
"40","절도女",1
"41","종사女",1
"42","친분女",1
"43","탈북女",1
"44","터프女",1
"45","피해女",1
"46","ㆍ女",1
"47","聖女",1
