"","Var1","Freq"
"1","성매수男",14
"2","미혼男",13
"3","만취男",11
"4","내연男",6
"5","돌싱男",6
"6","불륜男",5
"7","성추행男",5
"8","동거男",4
"9","성매매男",4
"10","성인男",4
"11","스토킹男",4
"12","연하男",4
"13","폭력男",4
"14","대졸男",3
"15","변태男",3
"16","살해男",3
"17","성폭행男",3
"18","재벌男",3
"19","한국男",3
"20","협박男",3
"21","고구마男",2
"22","고졸男",2
"23","난동男",2
"24","데이트폭력男",2
"25","독거男",2
"26","매너男",2
"27","몰카男",2
"28","뻔뻔男",2
"29","소변男",2
"30","신원미상男",2
"31","음란행위男",2
"32","이웃男",2
"33","중년男",2
"34","채팅男",2
"35","초혼男",2
"36","팬클럽형男",2
"37","펜팔男",2
"38","폭행男",2
"39","한국인男",2
"40","혼밥男",2
"41","흉기男",2
"42","男女",2
"43","가해男",1
"44","갑질男",1
"45","개념男",1
"46","게시男",1
"47","경단男",1
"48","고도비만男",1
"49","과거男",1
"50","관악男",1
"51","교제男",1
"52","구애男",1
"53","기혼男",1
"54","나무인간男",1
"55","나체男",1
"56","넘사男",1
"57","노숙男",1
"58","뇌섹男",1
"59","늘었男",1
"60","다녀온男",1
"61","다정男",1
"62","닮은꼴男",1
"63","대륙男",1
"64","대박男",1
"65","대男",1
"66","도망男",1
"67","독신男",1
"68","동네조폭男",1
"69","동성애男",1
"70","동영상男",1
"71","두살男",1
"72","등산조끼男",1
"73","뚱뚱男",1
"74","러시아男",1
"75","마사지男",1
"76","만남男",1
"77","말기男",1
"78","맘찢男",1
"79","매수男",1
"80","매장男",1
"81","먹었男",1
"82","먹튀男",1
"83","멕시코男",1
"84","무단칩입男",1
"85","문화예술권력男",1
"86","미상男",1
"87","미수男",1
"88","민폐男",1
"89","바람男",1
"90","박력男",1
"91","백인男",1
"92","보복운전男",1
"93","복면男",1
"94","분장男",1
"95","사칭男",1
"96","살인미수男",1
"97","상대男",1
"98","상습몰카男",1
"99","상습절도男",1
"100","서양男",1
"101","서울男",1
"102","석사男",1
"103","성관계男",1
"104","성형중독男",1
"105","성희롱男",1
"106","셀카보낸男",1
"107","소개팅男",1
"108","순수男",1
"109","순정男",1
"110","순진男",1
"111","스폰서男",1
"112","싫男",1
"113","심쿵男",1
"114","애교男",1
"115","양다리男",1
"116","에이즈男",1
"117","여드름男",1
"118","여행男",1
"119","연상男",1
"120","열정男",1
"121","엽기男",1
"122","우의男",1
"123","우즈베키스탄男",1
"124","유포男",1
"125","은퇴男",1
"126","음주운전방조男",1
"127","의리男",1
"128","의문男",1
"129","이웃살해男",1
"130","이집트男",1
"131","이혼男",1
"132","익명男",1
"133","인도男",1
"134","일반인男",1
"135","자살소동男",1
"136","자해시도男",1
"137","작업男",1
"138","장애男",1
"139","재력男",1
"140","적반하장男",1
"141","전과자男",1
"142","전자발찌男",1
"143","정신분열男",1
"144","주운男",1
"145","중국男",1
"146","지하철男",1
"147","직장男",1
"148","진드기男",1
"149","짐승男",1
"150","집착男",1
"151","짝사랑男",1
"152","철벽男",1
"153","촬영男",1
"154","출신男",1
"155","취직男",1
"156","태운男",1
"157","터키男",1
"158","투숙男",1
"159","투척男",1
"160","패륜男",1
"161","편취男",1
"162","품절男",1
"163","핑크男",1
"164","하男",1
"165","해바라기男",1
"166","허세男",1
"167","혐의男",1
"168","협력업체男",1
"169","혼란男",1
"170","홍당무男",1
"171","화성男",1
"172","훼손男",1
"173","흉기난동男",1
"174","흠모男",1
"175","仁川변태男",1
"176","男과女",1
