"","Var1","Freq"
"1","주장女",15
"2","피해女",15
"3","미혼女",10
"4","베트남女",10
"5","고소女",6
"6","지적장애女",5
"7","결혼이주女",4
"8","경단女",4
"9","베이글女",4
"10","태국女",4
"11","경력단절女",3
"12","동거女",3
"13","유흥업소女",3
"14","자취女",3
"15","기혼女",2
"16","대졸女",2
"17","레깅스女",2
"18","만취女",2
"19","살해女",2
"20","성매매女",2
"21","소개팅女",2
"22","소화기女",2
"23","업소女",2
"24","외국女",2
"25","일반인女",2
"26","일본女",2
"27","폭로女",2
"28","가임기女",1
"29","간통女",1
"30","검정봉지女",1
"31","경기女",1
"32","공천받을까女",1
"33","과다복용女",1
"34","교제女",1
"35","난동女",1
"36","난입女",1
"37","남아공女",1
"38","내연女",1
"39","능력女",1
"40","당첨女",1
"41","대만女",1
"42","대세女",1
"43","독거女",1
"44","독신女",1
"45","등산女",1
"46","러시아女",1
"47","롤스로이스女",1
"48","만남女",1
"49","머슬女",1
"50","몰카女",1
"51","밉상女",1
"52","불법체류女",1
"53","비정규직女",1
"54","뺑소니女",1
"55","사기女",1
"56","사우디女",1
"57","성접대女",1
"58","식물인간女",1
"59","실신女",1
"60","싱글女",1
"61","약속女",1
"62","어장관리女",1
"63","에티오피아女",1
"64","연루女",1
"65","외국인女",1
"66","이웃女",1
"67","이주女",1
"68","인도네시아女",1
"69","인도女",1
"70","접대부女",1
"71","중년女",1
"72","중소기업女",1
"73","출신女",1
"74","카톡女",1
"75","컵라면女",1
"76","클럽女",1
"77","패해주장女",1
"78","폭음女",1
"79","피해주장女",1
"80","필리핀女",1
"81","한국女",1
"82","호감女",1
"83","화류계女",1
"84","母女",1
