"","Var1","Freq"
"1","미혼女",10
"2","루저女",4
"3","내조女",3
"4","사기女",3
"5","정신지체女",3
"6","채팅女",3
"7","평범女",3
"8","고대女",2
"9","남장女",2
"10","베트남女",2
"11","성형女",2
"12","수단女",2
"13","실종女",2
"14","에이즈女",2
"15","음주女",2
"16","인기女",2
"17","조선족女",2
"18","지적장애女",2
"19","짝사랑女",2
"20","투신자살女",2
"21","가슴성형女",1
"22","가임女",1
"23","건어물女",1
"24","결혼이주女",1
"25","고공시위女",1
"26","구직女",1
"27","국내女",1
"28","끔직女",1
"29","난동女",1
"30","난자제공女",1
"31","납치女",1
"32","내연女",1
"33","도박女",1
"34","도자기女",1
"35","동석女",1
"36","란제리女",1
"37","러시아女",1
"38","맞벌이女",1
"39","맞선女",1
"40","매력女",1
"41","모델女",1
"42","미국女",1
"43","미련女",1
"44","변심女",1
"45","불륜女",1
"46","비위험군女",1
"47","성매매女",1
"48","성전환女",1
"49","소말리아女",1
"50","솔로女",1
"51","수면부족女",1
"52","수술女",1
"53","스캔들女",1
"54","시위女",1
"55","얼짱女",1
"56","엘리트女",1
"57","엣지女",1
"58","연상女",1
"59","연하女",1
"60","울컥女",1
"61","음주운전女",1
"62","인도女",1
"63","임신女",1
"64","잠입女",1
"65","장애女",1
"66","점중독女",1
"67","정신장애女",1
"68","제과점女",1
"69","중국女",1
"70","중상女",1
"71","즉석만남女",1
"72","짝가슴女",1
"73","촛불女",1
"74","최고女",1
"75","추락女",1
"76","태국女",1
"77","통통女",1
"78","필리핀女",1
"79","한국女",1
"80","허위고소女",1
