"","Var1","Freq"
"1","베트남女",14
"2","미혼女",11
"3","엽기女",11
"4","장애女",11
"5","채팅女",8
"6","성매매女",7
"7","지적장애女",6
"8","짝사랑女",6
"9","동거女",5
"10","만취女",5
"11","연상女",5
"12","정신지체女",5
"13","한국女",5
"14","가슴노출女",4
"15","결혼이민女",4
"16","러시아女",4
"17","보험사기女",4
"18","비만女",4
"19","섹시女",4
"20","싱글女",4
"21","직장女",4
"22","결혼이주女",3
"23","에이즈女",3
"24","적령기女",3
"25","주장女",3
"26","태국女",3
"27","피해女",3
"28","결혼女",2
"29","기혼女",2
"30","내연女",2
"31","독신女",2
"32","맞선女",2
"33","미모女",2
"34","바람女",2
"35","부킹女",2
"36","산소마스크女",2
"37","살해女",2
"38","성전환女",2
"39","소개팅女",2
"40","실연女",2
"41","아프간女",2
"42","왕가슴女",2
"43","원룸女",2
"44","이웃집女",2
"45","잔혹女",2
"46","재벌女",2
"47","전문직女",2
"48","정신장애女",2
"49","중국女",2
"50","중동女",2
"51","즉석만남女",2
"52","취객女",2
"53","폭행女",2
"54","흡연女",2
"55","鐵女",2
"56","O다리女",1
"57","S라인女",1
"58","vs호주女",1
"59","가난한女",1
"60","갇힌女",1
"61","감염女",1
"62","개념찬女",1
"63","거지女",1
"64","건강한女",1
"65","경일女",1
"66","경희대女",1
"67","경희女",1
"68","고도비만女",1
"69","고려대女",1
"70","공개女",1
"71","공원반라女",1
"72","과체중ㆍ비만女",1
"73","관능女",1
"74","괴력女",1
"75","교제거부女",1
"76","국내女",1
"77","귀신얼굴女",1
"78","금성女",1
"79","기적女",1
"80","까칠女",1
"81","나체女",1
"82","남보원女",1
"83","냄새女",1
"84","노량진女",1
"85","노출女",1
"86","다방女",1
"87","다이어트女",1
"88","당첨女",1
"89","대만女",1
"90","대박女",1
"91","도벽女",1
"92","동남아女",1
"93","동포女",1
"94","랩댄스女",1
"95","로스쿨女",1
"96","마셔주세女",1
"97","매력女",1
"98","매춘女",1
"99","먹인女",1
"100","모발女",1
"101","몰카女",1
"102","무단승차女",1
"103","미라女",1
"104","반라女",1
"105","발길질女",1
"106","발라당女",1
"107","벌거숭이女",1
"108","벤츠女",1
"109","변장女",1
"110","부유층女",1
"111","부잣집女",1
"112","사기女",1
"113","사망女",1
"114","사용女",1
"115","상대女",1
"116","상습도벽女",1
"117","상습절도女",1
"118","상하이女",1
"119","서양女",1
"120","성인女",1
"121","성추행女",1
"122","성형수술女",1
"123","성형女",1
"124","세로女",1
"125","소송女",1
"126","쇼핑女",1
"127","술집女",1
"128","숨진女",1
"129","스리랑카女",1
"130","스키니女",1
"131","스타킹女",1
"132","스트레스女",1
"133","신원미상女",1
"134","실종女",1
"135","아결女",1
"136","약혼女",1
"137","억척女",1
"138","얼굴女",1
"139","예쁜女",1
"140","오스트리아女",1
"141","외국인女",1
"142","외국女",1
"143","운동女",1
"144","운영女",1
"145","운전女",1
"146","유방절제女",1
"147","의문女",1
"148","이대女",1
"149","이란女",1
"150","인도女",1
"151","자살시도女",1
"152","자수성가형女",1
"153","자연산女",1
"154","잔인女",1
"155","잠옷차림女",1
"156","절도女",1
"157","죽은女",1
"158","중년女",1
"159","참변女",1
"160","철면피女",1
"161","첫만남女",1
"162","초반女",1
"163","촬영女",1
"164","최고갑부女",1
"165","출산女",1
"166","출신女",1
"167","취업女",1
"168","캄보디아女",1
"169","캔디女",1
"170","쿨한女",1
"171","탈출女",1
"172","텐트女",1
"173","톈진女",1
"174","투숙女",1
"175","투신女",1
"176","투척女",1
"177","패널티女",1
"178","패륜女",1
"179","페널티女",1
"180","피살女",1
"181","학대女",1
"182","한강투신女",1
"183","해롱해롱女",1
"184","험담女",1
"185","협박女",1
"186","홍보女",1
"187","홍콩女",1
"188","황당女",1
"189","후비적女",1
"190","ㆍ女",1
