"","Var1","Freq"
"1","미혼女",49
"2","국정원女",48
"3","돌싱女",44
"4","피해女",38
"5","고소女",34
"6","장애女",20
"7","만취女",19
"8","지적장애女",19
"9","한국女",16
"10","경력단절女",14
"11","성매매女",13
"12","직장女",12
"13","채팅女",12
"14","싱글女",11
"15","군산女",10
"16","부킹女",10
"17","실종女",10
"18","연상女",9
"19","댓글女",8
"20","불륜女",8
"21","내연女",6
"22","살해女",6
"23","알몸女",6
"24","투신女",6
"25","동거女",5
"26","베트남女",5
"27","비키니女",5
"28","알바女",5
"29","외국인女",5
"30","의혹女",5
"31","지체장애女",5
"32","탈북女",5
"33","가출女",4
"34","귀가女",4
"35","기혼女",4
"36","대졸女",4
"37","맞선女",4
"38","사기女",4
"39","섹시女",4
"40","의심女",4
"41","재혼女",4
"42","중국女",4
"43","초등생女",4
"44","필리핀女",4
"45","거부女",3
"46","결혼이주女",3
"47","금성女",3
"48","독신女",3
"49","목욕女",3
"50","몸짱女",3
"51","미모女",3
"52","상대女",3
"53","소개팅女",3
"54","수원女",3
"55","인턴女",3
"56","임신女",3
"57","자살기도女",3
"58","자살시도女",3
"59","장애인女",3
"60","절도女",3
"61","조건만남女",3
"62","조수석女",3
"63","짝사랑女",3
"64","청부살인女",3
"65","클럽女",3
"66","폰팅女",3
"67","가슴女",2
"68","경단女",2
"69","경험女",2
"70","고깃집女",2
"71","고대女",2
"72","고민女",2
"73","고졸女",2
"74","교제女",2
"75","글래머女",2
"76","길거리女",2
"77","노래방女",2
"78","노숙女",2
"79","노출女",2
"80","누드女",2
"81","다방女",2
"82","만난女",2
"83","머리女",2
"84","모델女",2
"85","모르는女",2
"86","무고女",2
"87","미성년女",2
"88","벤츠女",2
"89","복원성형女",2
"90","브라질女",2
"91","비만女",2
"92","서울女",2
"93","성추문女",2
"94","성형女",2
"95","순결女",2
"96","스토킹女",2
"97","신고女",2
"98","실연女",2
"99","약속女",2
"100","연예인급女",2
"101","연하女",2
"102","엽기女",2
"103","우울증女",2
"104","원룸女",2
"105","유흥업소女",2
"106","이주女",2
"107","인기女",2
"108","젊은女",2
"109","정신지체女",2
"110","주차단속女",2
"111","중독女",2
"112","즉석만남女",2
"113","직장인女",2
"114","진술女",2
"115","초고도비만女",2
"116","초혼女",2
"117","추정女",2
"118","출신女",2
"119","치매女",2
"120","한국클럽女",2
"121","한인女",2
"122","황당女",2
"123","흑인女",2
"124","F컵女",1
"125","We하女",1
"126","가임女",1
"127","가출청소女",1
"128","각선미女",1
"129","간통女",1
"130","강남女",1
"131","강북女",1
"132","갱년기女",1
"133","고백女",1
"134","고시텔女",1
"135","고학력女",1
"136","공모女",1
"137","긍정女",1
"138","기증女",1
"139","기초수급女",1
"140","깨작女",1
"141","꿀벅지女",1
"142","꿀벌女",1
"143","나이트부킹女",1
"144","나체시위女",1
"145","나체女",1
"146","나홀로女",1
"147","난동女",1
"148","남자외모女",1
"149","내숭女",1
"150","뇌병변장애女",1
"151","다문화女",1
"152","담배女",1
"153","당첨女",1
"154","당한女",1
"155","대구女",1
"156","대기업女",1
"157","대담한女",1
"158","도둑질女",1
"159","동갑女",1
"160","동남아女",1
"161","동성女",1
"162","동안女",1
"163","동포女",1
"164","된장女",1
"165","또래女",1
"166","뚱뚱女",1
"167","뚱女",1
"168","라면女",1
"169","마사지女",1
"170","마약女",1
"171","맞벌이女",1
"172","매력女",1
"173","매춘女",1
"174","머리끄덩이女",1
"175","머신女",1
"176","명품女",1
"177","모태솔로女",1
"178","몰염치女",1
"179","몽골女",1
"180","무개념女",1
"181","무속인女",1
"182","미국인女",1
"183","미니스커트女",1
"184","밀반입女",1
"185","바비인형女",1
"186","박사女",1
"187","반전女",1
"188","배려女",1
"189","백수女",1
"190","버스앞좌석女",1
"191","보모女",1
"192","보험왕女",1
"193","보험女",1
"194","부산女",1
"195","북한女",1
"196","불법과외女",1
"197","불법女",1
"198","비정규직女",1
"199","뻔한女",1
"200","사망女",1
"201","사별女",1
"202","사용女",1
"203","사우디女",1
"204","사이다女",1
"205","사이언톨로지女",1
"206","사치하는女",1
"207","사칭女",1
"208","사치女",1
"209","새벽운동女",1
"210","샌들女",1
"211","샤워女",1
"212","성접대女",1
"213","성추행장애女",1
"214","세파라치女",1
"215","셀카女",1
"216","셀프출산女",1
"217","소매치기女",1
"218","속옷女",1
"219","쇼핑중독女",1
"220","수능만점女",1
"221","수배女",1
"222","술고래女",1
"223","시술女",1
"224","신상女",1
"225","신원미상女",1
"226","심한女",1
"227","아라비아숫자女",1
"228","아시안女",1
"229","아프간女",1
"230","알선女",1
"231","알코올중독女",1
"232","야심女",1
"233","어서오세女",1
"234","업소女",1
"235","엉덩이女",1
"236","여드름女",1
"237","연쇄살인女",1
"238","열애女",1
"239","영상통화女",1
"240","예쁜女",1
"241","오토바이女",1
"242","요즘女",1
"243","욕설女",1
"244","욕심女",1
"245","용변보는女",1
"246","원정女",1
"247","원피스女",1
"248","유사성행위女",1
"249","음란영상女",1
"250","음주女",1
"251","이별요구女",1
"252","이웃女",1
"253","이혼女",1
"254","인조인간女",1
"255","자살의심女",1
"256","자폐女",1
"257","잔혹살해女",1
"258","절대음감女",1
"259","접대女",1
"260","정신장애女",1
"261","정신질환女",1
"262","제공한女",1
"263","제공女",1
"264","주미문화원女",1
"265","주점女",1
"266","중년女",1
"267","중딩女",1
"268","중산층女",1
