"","Var1","Freq"
"1","기혼女",3
"2","집창촌女",3
"3","개똥女",2
"4","내연女",2
"5","미혼女",2
"6","비만女",2
"7","엽기범죄女",2
"8","한국女",2
"9","흡연女",2
"10","가입女",1
"11","가출女",1
"12","결별女",1
"13","과음女",1
"14","나홀로女",1
"15","달쏭女",1
"16","덮친女",1
"17","마약女",1
"18","맞선女",1
"19","매춘女",1
"20","무단횡단女",1
"21","배신자女",1
"22","빈약女",1
"23","서울女",1
"24","성매매女",1
"25","성폭행女",1
"26","손써봐女",1
"27","순진女",1
"28","스트레스女",1
"29","싱글女",1
"30","연상女",1
"31","엽기女",1
"32","옆방女",1
"33","외국인女",1
"34","정신장애女",1
"35","조선족女",1
"36","중국女",1
"37","짝사랑女",1
"38","짱女",1
"39","채팅女",1
"40","큰女",1
"41","클릭女",1
"42","패륜女",1
"43","피해女",1
"44","石女",1
