"","Var1","Freq"
"1","미혼男",20
"2","중년男",14
"3","돌싱男",13
"4","채팅男",11
"5","만취男",10
"6","불륜男",10
"7","성매수男",9
"8","성폭행男",9
"9","몰카男",8
"10","성추행男",8
"11","연하男",8
"12","초혼男",8
"13","살해男",6
"14","직장男",6
"15","상대男",5
"16","이혼男",5
"17","변태男",4
"18","짝사랑男",4
"19","골인男",3
"20","난동男",3
"21","독거男",3
"22","독신男",3
"23","동거男",3
"24","연상男",3
"25","외국男",3
"26","이웃집男",3
"27","자살男",3
"28","자해男",3
"29","주폭男",3
"30","지적장애男",3
"31","폭행男",3
"32","한국男",3
"33","헌팅男",3
"34","화성男",3
"35","강제추행男",2
"36","급정거男",2
"37","까칠男",2
"38","내연男",2
"39","당첨男",2
"40","댓글男",2
"41","도주男",2
"42","동승男",2
"43","맞선男",2
"44","벤츠男",2
"45","부킹男",2
"46","사기男",2
"47","성전환男",2
"48","소개팅男",2
"49","소개男",2
"50","시위男",2
"51","엽기男",2
"52","유기男",2
"53","유포男",2
"54","이웃男",2
"55","자퇴男",2
"56","잘린男",2
"57","절도男",2
"58","조건만남男",2
"59","조울증男",2
"60","짐승男",2
"61","초식男",2
"62","충북男",2
"63","칼부림男",2
"64","캄보디아男",2
"65","클럽男",2
"66","투신男",2
"67","투척男",2
"68","파키스탄男",2
"69","男女",2
"70","가진男",1
"71","가해男",1
"72","강요男",1
"73","거짓말男",1
"74","고대男",1
"75","고독男",1
"76","고령男",1
"77","고민男",1
"78","고소득男",1
"79","고졸男",1
"80","곱슬머리男",1
"81","공무원男",1
"82","광주男",1
"83","괴짜男",1
"84","국정원男",1
"85","기도男",1
"86","기숙사男",1
"87","기초수급男",1
"88","꽃집男",1
"89","노안男",1
"90","늑대男",1
"91","능청男",1
"92","다섯살男",1
"93","단체예약男",1
"94","당첨된男",1
"95","대기업男",1
"96","대머리男",1
"97","대男",1
"98","도피男",1
"99","돌보던男",1
"100","돌싱男女",1
"101","동석男",1
"102","동창男",1
"103","뒤끝男",1
"104","또래男",1
"105","뚱보男",1
"106","만남男",1
"107","만든男",1
"108","매정男",1
"109","목포男",1
"110","무죄男",1
"111","무직男",1
"112","미국男",1
"113","미저리男",1
"114","바람男",1
"115","반바지男",1
"116","방글라데시男",1
"117","변하는男",1
"118","보험사기男",1
"119","복면男",1
"120","부산男",1
"121","비만男",1
"122","비밀연애男",1
"123","뻔뻔男",1
"124","사법고시男",1
"125","사칭男",1
"126","살해기도男",1
"127","생환男",1
"128","서울男",1
"129","성병男",1
"130","성폭행시도男",1
"131","소동男",1
"132","속옷男",1
"133","솔로男",1
"134","순애보男",1
"135","스리랑카男",1
"136","습득男",1
"137","시각장애男",1
"138","시도男",1
"139","신고男",1
"140","신원미상男",1
"141","신청男",1
"142","싱글男",1
"143","싹쓸이男",1
"144","쓰러진男",1
"145","알코올중독男",1
"146","알코올男",1
"147","약혼男",1
"148","얌체男",1
"149","양파男",1
"150","역주행男",1
"151","오물투척男",1
"152","외간男",1
"153","요구男",1
"154","요즘男",1
"155","욕정男",1
"156","우즈벡男",1
"157","원조교제男",1
"158","육상트랙男",1
"159","음란행위男",1
"160","의심男",1
"161","의처증男",1
"162","이상형男",1
"163","인도男",1
"164","일본男",1
"165","자살기도男",1
"166","자상男",1
"167","자위男",1
"168","잔혹男",1
"169","재혼男",1
"170","전공男",1
"171","전자발찌男",1
"172","절단男",1
"173","접근男",1
"174","정신지체男",1
"175","정체불명男",1
"176","조선족男",1
"177","좀비男",1
"178","주먹날린男",1
"179","중독男",1
"180","중장년男",1
"181","지명수배男",1
"182","쩝쩝男",1
"183","차인男",1
"184","챙긴男",1
"185","청부살해男",1
"186","초반男",1
"187","초졸男",1
"188","촬영男",1
"189","출신男",1
"190","투신시도男",1
"191","파렴치男",1
"192","페인트테러男",1
"193","프로포즈男",1
"194","피해망상男",1
"195","행운男",1
"196","협밤男",1
"197","화상채팅男",1
"198","화성인男",1
"199","환각男",1
"200","횡령男",1
"201","훔친男",1
"202","휠체어男",1
"203","흉악범男",1
"204","흡연男",1
"205","ケド男",1
"206","に行きたい男女",1
"207","性폭행男",1
"208","男ㆍ女",1
