"","Var1","Freq"
"1","피해女",14
"2","주장女",7
"3","실종女",6
"4","갑질女",4
"5","경단女",4
"6","고소女",4
"7","몰카女",4
"8","직장女",4
"9","짝사랑女",4
"10","가해女",3
"11","한국女",3
"12","동거女",2
"13","만취女",2
"14","메갈女",2
"15","미혼女",2
"16","베이글女",2
"17","성매매女",2
"18","소개팅女",2
"19","女女",2
"20","禁女",2
"21","결혼이주女",1
"22","고발女",1
"23","금성女",1
"24","급진女",1
"25","기도女",1
"26","노숙女",1
"27","단절女",1
"28","당첨女",1
"29","동남아女",1
"30","맞선女",1
"31","몰표女",1
"32","미투女",1
"33","민폐女",1
"34","백인女",1
"35","베트남女",1
"36","불법주차女",1
"37","불법촬영女",1
"38","불혹女",1
"39","뷰티女",1
"40","비키니女",1
"41","사건女",1
"42","사실혼女",1
"43","삭발女",1
"44","성형女",1
"45","섹시女",1
"46","소말리아女",1
"47","수표女",1
"48","시베리아女",1
"49","썸女",1
"50","에쿠스女",1
"51","연하女",1
"52","영국女",1
"53","외국인女",1
"54","우간다女",1
"55","우즈벡女",1
"56","운영女",1
"57","이웃집女",1
"58","인기女",1
"59","인도女",1
"60","일본女",1
"61","자살女",1
"62","중년女",1
"63","중장년ㆍ경력단절女",1
"64","즉석만남女",1
"65","집착女",1
"66","채팅女",1
"67","청년女",1
"68","추정女",1
"69","태국인女",1
"70","태국女",1
"71","폐경女",1
"72","포항女",1
"73","플로리스트女",1
"74","허위고소女",1
"75","헌팅女",1
"76","헤어디자이너女",1
"77","흡연女",1
"78","히잡女",1
