"","Var1","Freq"
"1","만취男",9
"2","벤츠男",7
"3","스토킹男",7
"4","인도男",6
"5","폭행男",6
"6","가해男",5
"7","난동男",5
"8","중년男",5
"9","변태男",4
"10","불륜男",4
"11","연하男",4
"12","음란행위男",4
"13","전자발찌男",4
"14","테러男",4
"15","동거男",3
"16","막말男",3
"17","문신男",3
"18","살림男",3
"19","성폭행男",3
"20","아프간男",3
"21","자전거男",3
"22","태국男",3
"23","협박男",3
"24","골프男",2
"25","과잠男",2
"26","나체男",2
"27","노출男",2
"28","담배男",2
"29","몰카男",2
"30","미성년男",2
"31","성매수男",2
"32","속옷男",2
"33","시도男",2
"34","야동男",2
"35","엽기男",2
"36","영국男",2
"37","진상男",2
"38","추정男",2
"39","포르쉐男",2
"40","혈흔男",2
"41","PD사칭男",1
"42","가격男",1
"43","강간살인男",1
"44","거구男",1
"45","거부男",1
"46","골프채男",1
"47","나이지리아男",1
"48","노마스크男",1
"49","노크男",1
"50","대만男",1
"51","데이트폭행男",1
"52","도주男",1
"53","독거男",1
"54","독신男",1
"55","동행男",1
"56","만취알몸男",1
"57","무개념男",1
"58","백인男",1
"59","베트남男",1
"60","불륜의심男",1
"61","사기男",1
"62","사칭男",1
"63","살인미수男",1
"64","살해男",1
"65","상대男",1
"66","성매매男",1
"67","성범죄男",1
"68","셀카男",1
"69","수상한男",1
"70","수영男",1
"71","실종男",1
"72","싱가포르男",1
"73","아래층男",1
"74","알몸노출男",1
"75","알몸男",1
"76","욕설男",1
"77","월북男",1
"78","육아휴직男",1
"79","의심男",1
"80","이혼男",1
"81","일베男",1
"82","일행男",1
"83","입수男",1
"84","자는男걷는女",1
"85","장애인男",1
"86","전단살포男",1
"87","전문직男",1
"88","종용男",1
"89","주먹휘두른男",1
"90","주차男",1
"91","집유받은男",1
"92","짝사랑男",1
"93","찔린男",1
"94","체격男",1
"95","촬영男",1
"96","추행男",1
"97","침입男",1
"98","캐나다男",1
"99","탈모男",1
"100","터키男",1
"101","투신男",1
"102","티팬티男",1
"103","패륜男",1
"104","페루男",1
"105","피투성이男",1
"106","하의실종男",1
"107","호주男",1
"108","혼전순결男",1
"109","흉기난동男",1
"110","흡연男",1
"111","男女",1
"112","禁男",1
